posting_id,posting_date,role,experience_years,company_type,city,education_tier,skills_count,has_genai_llm_skills,has_mlops_skills,has_cloud_skills,remote_friendly,salary_lpa
JP103725,2024-09-01,Software Engineer,0.6,Product (Indian),Bangalore,Tier-2 Engineering College,12,0,0,0,0,21.1
JP103285,2024-09-01,Product Manager,3.4,FAANG/MNC,Mumbai,Premier (IIT/NIT/IIIT),3,0,0,0,1,91.8
JP103279,2024-09-01,Data Scientist,4.6,Product (Indian),Hyderabad,Tier-2 Engineering College,6,0,0,0,0,37.9
JP103259,2024-09-01,Software Engineer,2.2,IT Services,Mumbai,Other,14,1,1,1,1,14.8
JP108495,2024-09-01,AI/ML Engineer,4.4,Product (Indian),Bangalore,Tier-2 Engineering College,13,0,0,1,0,49.4
JP110725,2024-09-01,Software Engineer,7.8,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,13,0,0,0,1,27.2
JP103236,2024-09-01,Mobile Developer,14.1,Startup,Chennai,Other,12,0,0,1,0,20.5
JP103204,2024-09-01,Mobile Developer,4.4,Startup,Delhi NCR,Tier-2 Engineering College,8,0,0,0,0,24.5
JP109001,2024-09-01,Data Scientist,1.3,IT Services,Hyderabad,Other,8,0,1,0,0,18.8
JP110749,2024-09-01,Data Scientist,5.6,FAANG/MNC,Mumbai,Tier-2 Engineering College,5,0,0,0,0,71.0
JP103174,2024-09-01,Software Engineer,2.6,FAANG/MNC,Remote/Tier-2,Other,10,0,1,0,1,42.7
JP103163,2024-09-01,Software Engineer,2.9,FAANG/MNC,Hyderabad,Tier-2 Engineering College,5,0,0,0,0,58.1
JP103161,2024-09-01,Software Engineer,5.7,IT Services,Bangalore,Tier-2 Engineering College,11,0,0,0,0,23.1
JP100589,2024-09-01,Mobile Developer,3.0,Startup,Bangalore,Other,9,0,0,0,1,18.4
JP100591,2024-09-01,Software Engineer,5.2,IT Services,Chennai,Tier-2 Engineering College,9,0,0,0,0,15.0
JP103139,2024-09-01,Data Scientist,4.8,IT Services,Bangalore,Other,15,1,0,0,1,20.2
JP111764,2024-09-01,Data Scientist,3.7,FAANG/MNC,Mumbai,Tier-2 Engineering College,9,0,0,0,0,52.0
JP103100,2024-09-01,AI/ML Engineer,9.5,IT Services,Remote/Tier-2,Premier (IIT/NIT/IIIT),8,1,0,1,1,33.7
JP111774,2024-09-01,Software Engineer,2.9,IT Services,Chennai,Tier-2 Engineering College,13,0,0,0,0,11.7
JP103087,2024-09-01,AI/ML Engineer,8.0,IT Services,Remote/Tier-2,Other,4,0,1,0,1,19.1
JP107691,2024-09-01,Data Scientist,3.0,Startup,Chennai,Tier-2 Engineering College,6,1,1,1,0,43.5
JP103343,2024-09-01,Software Engineer,5.4,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,10,0,0,0,1,29.6
JP103513,2024-09-01,Product Manager,5.7,IT Services,Bangalore,Tier-2 Engineering College,11,0,0,0,0,32.4
JP100528,2024-09-01,Mobile Developer,8.2,Product (Indian),Bangalore,Other,12,0,0,1,0,39.6
JP103481,2024-09-01,Software Engineer,0.7,Product (Indian),Bangalore,Other,5,0,0,0,1,17.8
JP110634,2024-09-01,Data Scientist,11.4,IT Services,Bangalore,Tier-2 Engineering College,13,0,1,1,0,38.9
JP110635,2024-09-01,Software Engineer,6.4,Product (Indian),Bangalore,Tier-2 Engineering College,13,0,0,1,0,59.1
JP110647,2024-09-01,Product Manager,0.5,IT Services,Remote/Tier-2,Other,4,0,0,1,1,7.4
JP111782,2024-09-01,Software Engineer,10.1,FAANG/MNC,Mumbai,Tier-2 Engineering College,13,0,1,0,0,95.6
JP111781,2024-09-01,Mobile Developer,2.6,FAANG/MNC,Chennai,Other,10,0,0,0,1,35.4
JP103440,2024-09-01,Software Engineer,1.0,Product (Indian),Chennai,Tier-2 Engineering College,13,0,0,1,1,20.6
JP100543,2024-09-01,Data Scientist,3.5,Product (Indian),Hyderabad,Premier (IIT/NIT/IIIT),8,0,0,1,0,43.3
JP103420,2024-09-01,Software Engineer,5.2,Product (Indian),Pune,Tier-2 Engineering College,5,0,0,1,0,38.8
JP110667,2024-09-01,Software Engineer,0.2,Startup,Chennai,Other,12,0,0,0,0,9.7
JP103392,2024-09-01,Software Engineer,16.4,FAANG/MNC,Bangalore,Premier (IIT/NIT/IIIT),10,0,0,0,0,113.5
JP103390,2024-09-01,Data Scientist,2.9,FAANG/MNC,Pune,Other,7,0,0,0,0,48.4
JP103378,2024-09-01,Software Engineer,4.7,IT Services,Hyderabad,Other,11,0,1,0,0,17.6
JP103374,2024-09-01,Software Engineer,10.8,IT Services,Remote/Tier-2,Tier-2 Engineering College,9,0,0,1,1,15.5
JP103364,2024-09-01,AI/ML Engineer,3.4,Product (Indian),Bangalore,Premier (IIT/NIT/IIIT),8,0,0,1,0,55.8
JP108499,2024-09-01,Software Engineer,3.8,Product (Indian),Hyderabad,Premier (IIT/NIT/IIIT),3,0,0,0,0,34.4
JP103076,2024-09-01,AI/ML Engineer,4.0,IT Services,Chennai,Premier (IIT/NIT/IIIT),14,0,1,0,0,28.8
JP111760,2024-09-01,Data Scientist,1.3,Product (Indian),Chennai,Premier (IIT/NIT/IIIT),5,0,1,1,0,27.9
JP108723,2024-09-01,Data Scientist,5.7,FAANG/MNC,Hyderabad,Premier (IIT/NIT/IIIT),7,1,1,1,1,160.0
JP102807,2024-09-01,AI/ML Engineer,2.2,Startup,Pune,Tier-2 Engineering College,12,0,1,0,0,29.9
JP102804,2024-09-01,Data Scientist,8.2,Startup,Bangalore,Tier-2 Engineering College,5,1,0,1,0,69.2
JP100644,2024-09-01,DevOps Engineer,6.3,Startup,Remote/Tier-2,Tier-2 Engineering College,10,0,1,0,1,17.9
JP108964,2024-09-01,Software Engineer,0.9,Product (Indian),Bangalore,Premier (IIT/NIT/IIIT),9,1,0,0,0,33.3
JP102772,2024-09-01,Software Engineer,3.4,IT Services,Bangalore,Tier-2 Engineering College,3,0,0,0,0,15.1
JP102769,2024-09-01,Software Engineer,9.5,IT Services,Pune,Tier-2 Engineering College,12,0,0,0,0,22.1
JP102756,2024-09-01,Software Engineer,3.5,Startup,Bangalore,Other,6,0,0,0,0,19.2
JP102747,2024-09-01,Product Manager,2.7,IT Services,Chennai,Tier-2 Engineering College,14,1,0,0,1,23.4
JP107840,2024-09-01,Software Engineer,12.7,FAANG/MNC,Pune,Tier-2 Engineering College,7,0,0,1,1,100.1
JP102716,2024-09-01,Product Manager,3.2,IT Services,Bangalore,Tier-2 Engineering College,12,1,0,0,0,32.4
JP102707,2024-09-01,AI/ML Engineer,1.1,FAANG/MNC,Bangalore,Other,6,1,0,1,1,84.1
JP107856,2024-09-01,Software Engineer,6.8,Product (Indian),Remote/Tier-2,Other,4,0,0,1,1,19.2
JP102689,2024-09-01,AI/ML Engineer,5.1,IT Services,Bangalore,Tier-2 Engineering College,5,0,0,0,0,23.3
JP108458,2024-09-01,Software Engineer,6.0,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,11,0,0,1,1,27.7
JP100671,2024-09-01,Data Scientist,4.7,Startup,Delhi NCR,Premier (IIT/NIT/IIIT),13,1,0,0,0,49.3
JP102664,2024-09-01,Data Scientist,9.3,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,6,1,1,1,1,45.6
JP102653,2024-09-01,DevOps Engineer,3.5,Startup,Bangalore,Tier-2 Engineering College,6,0,0,1,0,26.2
JP110897,2024-09-01,Product Manager,3.6,Product (Indian),Delhi NCR,Tier-2 Engineering College,4,0,0,0,0,39.0
JP102831,2024-09-01,Software Engineer,2.8,Product (Indian),Delhi NCR,Other,9,0,0,0,1,22.4
JP110894,2024-09-01,AI/ML Engineer,1.5,IT Services,Delhi NCR,Tier-2 Engineering College,15,0,0,1,1,14.4
JP102838,2024-09-01,Product Manager,3.9,FAANG/MNC,Delhi NCR,Premier (IIT/NIT/IIIT),10,0,0,1,0,119.7
JP107758,2024-09-01,DevOps Engineer,11.3,IT Services,Mumbai,Other,12,1,0,0,0,27.9
JP110811,2024-09-01,Software Engineer,2.6,Product (Indian),Bangalore,Tier-2 Engineering College,6,0,0,0,0,31.9
JP107760,2024-09-01,Software Engineer,3.1,IT Services,Bangalore,Premier (IIT/NIT/IIIT),13,0,0,1,0,31.0
JP110821,2024-09-01,Data Scientist,6.9,Startup,Remote/Tier-2,Tier-2 Engineering College,7,0,0,1,1,24.3
JP108989,2024-09-01,Data Scientist,5.8,IT Services,Remote/Tier-2,Tier-2 Engineering College,11,1,0,0,1,17.1
JP108988,2024-09-01,Data Scientist,5.5,FAANG/MNC,Mumbai,Premier (IIT/NIT/IIIT),14,0,0,1,1,119.0
JP111749,2024-09-01,Software Engineer,1.9,Startup,Bangalore,Other,4,0,0,1,1,20.1
JP107778,2024-09-01,Data Scientist,13.1,Product (Indian),Chennai,Tier-2 Engineering College,5,0,0,1,0,35.4
JP103523,2024-09-01,Product Manager,14.1,Startup,Delhi NCR,Tier-2 Engineering College,5,1,0,0,0,67.5
JP102981,2024-09-01,Software Engineer,3.5,Product (Indian),Chennai,Other,9,0,0,1,1,27.0
JP102967,2024-09-01,DevOps Engineer,8.3,IT Services,Pune,Other,9,1,1,1,0,27.6
JP102943,2024-09-01,Software Engineer,4.7,Startup,Delhi NCR,Tier-2 Engineering College,9,1,1,1,0,53.1
JP102919,2024-09-01,Software Engineer,5.6,Startup,Bangalore,Tier-2 Engineering College,14,0,0,1,0,26.6
JP110882,2024-09-01,Software Engineer,2.7,Product (Indian),Pune,Tier-2 Engineering College,3,0,0,0,0,23.3
JP107800,2024-09-01,Software Engineer,5.3,Startup,Hyderabad,Tier-2 Engineering College,9,0,0,1,0,35.3
JP108974,2024-09-01,Software Engineer,3.4,Product (Indian),Bangalore,Tier-2 Engineering College,13,0,0,0,0,34.3
JP107806,2024-09-01,Software Engineer,5.1,FAANG/MNC,Chennai,Other,8,0,0,1,0,52.1
JP102848,2024-09-01,Data Scientist,1.9,Product (Indian),Hyderabad,Other,10,0,0,1,0,27.9
